"sobrenome","altura","peso","novo_imc"
"Holloway",230,78,"Peso normal"
"Holloway",185,72,""
"Holly",165,70,"Acima do peso"
"Holly",210,77,"Peso normal"
"Holman",185,76,""
"Holman",205,77,"Peso normal"
"Holman",200,73,"Peso normal"
"Holman",190,73,""
"Holman",185,74,""
"Holmberg",245,75,"Peso normal"
"Holm",168,70,""
"Holmes",NA,NA,NA
"Holmes",245,77,"Peso normal"
"Holmes",199,72,"Peso normal"
"Holmes",170,66,""
"Holmes",160,70,"Acima do peso"
"Holmes",145,67,"Acima do peso"
"Holmes",NA,NA,NA
"Holmes",180,70,""
"Holm",205,72,"Peso normal"
"Holm",160,69,"Acima do peso"
"Holshouser",170,72,""
"Holt",180,68,""
"Holt",205,76,"Peso normal"
"Holtgrave",183,73,""
"Holt",180,72,""
"Holton",190,74,""
"Holton",200,74,"Peso normal"
"Holt",175,71,""
"Holt",165,71,"Acima do peso"
"Holt",190,70,""
"Holtzman",175,74,""
"Holtz",172,69,""
"Holzemer",165,72,"Acima do peso"
"Honan",171,70,""
"Honeywell",195,74,""
"Honeycutt",185,73,""
"Hood",152,67,"Acima do peso"
"Hood",205,74,"Peso normal"
"Hood",180,74,""
"Hood",160,71,"Acima do peso"
"Hood",190,73,""
"Hook",230,77,"Peso normal"
"Hooker",NA,66,NA
"Hook",182,74,""
"Hooks",183,73,""
"Hooper",195,71,""
"Hooper",168,70,""
"Hooper",160,70,"Acima do peso"
"Hooper",165,66,""
"Hooten",180,71,""
"Hooton",210,73,"Peso normal"
"Hoover",178,73,""
"Hoover",170,68,""
"Hoover",170,72,""
"Hoover",240,75,"Peso normal"
"Hoover",175,71,""
"Hoover",190,74,""
"Hoover",210,73,"Peso normal"
"Hope",195,75,""
"Hope",NA,70,NA
"Hopkins",165,70,"Acima do peso"
"Hopkins",175,72,""
"Hopkins",198,70,"Peso normal"
"Hopkins",175,71,""
"Hopkins",160,68,"Acima do peso"
"Hopkins",175,72,""
"Hopper",175,72,""
"Hopper",175,73,""
"Hopper",NA,72,NA
"Hopper",205,71,"Peso normal"
"Hopp",170,70,""
"Horan",160,70,"Acima do peso"
"Horan",170,70,""
"Horgan",200,73,"Peso normal"
"Horlen",170,72,""
"Horner",195,73,""
"Horner",NA,NA,NA
"Horne",155,69,"Acima do peso"
"Horn",215,77,"Peso normal"
"Hornsby",175,71,""
"Hornung",164,68,"Acima do peso"
"Horsey",165,71,"Acima do peso"
"Horsman",175,74,""
"Horst",235,75,"Peso normal"
"Horstmann",165,71,"Acima do peso"
"Horton",157,69,"Acima do peso"
"Horton",195,74,""
"Horton",210,75,"Peso normal"
"Horton",209,71,"Peso normal"
"Horwitz",185,73,""
"Hosey",175,70,""
"Hosey",215,75,"Peso normal"
"Hoskins",180,73,""
"Hoskins",245,76,"Peso normal"
"Hosley",185,71,""
"Hosmer",226,76,"Peso normal"
"Hostetler",175,72,""
"Hostetler",215,76,"Peso normal"
"Host",190,71,""
"Hotaling",166,68,""
"Hottman",190,71,""
"Hottovy",205,73,"Peso normal"
"Houck",175,72,""
"Houck",151,67,"Acima do peso"
"Houck",230,77,"Peso normal"
"Hough",190,74,""
"Houk",193,71,""
"Houlton",235,76,"Peso normal"
"Houser",222,75,"Peso normal"
"Houser",185,73,""
"Householder",150,67,"Acima do peso"
"Householder",158,71,"Acima do peso"
"House",210,74,"Peso normal"
"Householder",180,69,""
"Houseman",220,NA,NA
"House",190,75,""
"House",190,73,""
"Houser",205,76,"Peso normal"
"Houseman",160,70,"Acima do peso"
"Houser",160,69,"Acima do peso"
"House",215,72,"Peso normal"
"House",185,75,""
"Householder",180,72,""
"House",205,73,"Peso normal"
"House",190,71,""
"Housie",165,69,"Acima do peso"
"Houston",210,74,"Peso normal"
"Houtteman",188,74,""
"Houtz",170,70,""
"Hovley",188,70,""
"Hovlik",180,72,""
"Hovlik",194,70,""
"Howard",190,74,""
"Howard",180,74,""
"Howard",200,74,"Peso normal"
"Howard",185,72,""
"Howard",165,71,"Acima do peso"
"Howard",165,72,"Acima do peso"
"Howard",180,72,""
"Howard",185,75,""
"Howard",160,73,"Acima do peso"
"Howard",196,74,""
"Howard",255,79,"Peso normal"
"Howard",190,75,""
"Howard",170,70,""
"Howarth",175,71,""
"Howard",200,75,""
"Howard",175,74,""
"Howard",165,70,"Acima do peso"
"Howard",185,74,""
"Howard",170,68,""
"Howard",250,76,"Peso normal"
"Howard",195,76,""
"Howard",210,75,"Peso normal"
"Howard",205,74,"Peso normal"
"Howard",200,74,"Peso normal"
"Howard",170,74,"Acima do peso"
"Howe",190,74,""
"Howe",230,75,"Peso normal"
"Howell",210,74,"Peso normal"
"Howell",190,71,""
"Howe",170,71,""
"Howell",NA,69,NA
"Howell",200,75,""
"Howell",180,72,""
"Howell",180,72,""
"Howell",200,75,""
"Howell",155,71,"Acima do peso"
"Howell",215,72,"Peso normal"
"Howell",210,76,"Peso normal"
"Howell",190,73,""
"Howerton",185,71,""
"Howe",NA,NA,NA
"Howe",180,73,""
"Howitt",205,77,"Peso normal"
"Howley",187,72,""
"Howry",215,77,"Peso normal"
"Howser",155,68,"Acima do peso"
"Hoy",160,66,"Acima do peso"
"Hoying",205,75,"Peso normal"
"Hoyle",170,76,"Acima do peso"
"Hoy",220,79,"Peso normal"
"Hoyt",230,78,"Peso normal"
"Hoyt",195,75,""
"Hoyt",180,72,""
"Hrabosky",185,71,""
"Hrbek",200,76,""
"Hriniak",180,71,""
"Huang",175,74,""
"Hubbard",NA,NA,NA
"Hubbard",260,75,"Peso normal"
"Hubbard",150,69,"Acima do peso"
"Hubbard",180,73,""
"Hubbard",180,68,""
"Hubbell",195,73,""
"Hubbell",170,72,""
"Hubbs",175,74,""
"Huber",165,70,"Acima do peso"
"Huber",200,73,"Peso normal"
"Huber",200,74,"Peso normal"
"Huber",165,70,"Acima do peso"
"Hu",190,71,""
"Hu",243,73,"Peso normal"
"Huckaby",205,73,"Peso normal"
"Huckleberry",165,71,"Acima do peso"
"Hudek",200,73,"Peso normal"
"Hudgens",210,74,"Peso normal"
"Hudgens",180,72,""
"Hudler",180,73,""
"Hudlin",190,72,""
"Hudson",185,75,""
"Hudson",185,75,""
"Hudson",215,75,"Peso normal"
"Hudson",215,77,"Peso normal"
"Hudson",175,70,""
"Hudson",165,74,"Acima do peso"
"Hudson",160,70,"Acima do peso"
"Hudson",173,73,""
"Hudson",210,72,"Peso normal"
"Hudson",175,71,""
"Hudson",195,75,""
"Hudson",NA,NA,NA
"Hudson",190,72,""
"Hudson",165,71,"Acima do peso"
"Hudson",180,76,""
"Hudson",175,73,""
"Huelsman",210,74,"Peso normal"
"Huenke",175,72,""
"Huff",225,76,"Peso normal"
"Huff",210,73,"Peso normal"
"Huff",NA,NA,NA
"Huffman",175,71,""
"Huffman",215,73,"Peso normal"
"Huff",180,73,""
"Huffman",180,74,""
"Huff",240,77,"Peso normal"
"Hug",NA,68,NA
"Huggins",140,66,"Acima do peso"
"Hughes",NA,NA,NA
"Hughes",155,70,"Acima do peso"
"Hughes",237,76,"Peso normal"
"Hughes",225,74,"Peso normal"
"Hughes",195,75,""
"Hughes",190,70,""
"Hughes",180,73,""
"Hughes",185,NA,NA
"Hughes",240,79,"Peso normal"
"Hughey",NA,72,NA
"Hughes",200,73,"Peso normal"
"Hughes",190,75,""
"Hughes",165,70,"Acima do peso"
"Hughes",210,75,"Peso normal"
"Hughes",205,71,"Peso normal"
"Hughes",165,66,""
"Hughes",240,77,"Peso normal"
"Hughes",215,74,"Peso normal"
"Hughes",167,70,"Acima do peso"
"Hughes",185,73,""
"Hughes",175,73,""
"Hughes",175,74,""
"Hughes",190,73,""
"Hughes",190,73,""
"Hughes",180,74,""
"Hughes",235,77,"Peso normal"
"Hughes",155,70,"Acima do peso"
"Hughson",198,75,""
"Huhn",180,72,""
"Huisman",195,73,""
"Huismann",195,75,""
"Huisman",200,75,""
"Hulbert",NA,NA,NA
"Hulen",148,68,"Acima do peso"
"Hulett",185,72,""
"Hulett",185,70,""
"Hulihan",170,71,""
"Hull",185,71,""
"Hulse",170,71,""
"Hulswitt",165,68,""
"Hultzen",210,75,"Peso normal"
"Hulvey",180,72,""
"Humber",215,75,"Peso normal"
"Hume",185,73,""
"Hummel",198,70,"Peso normal"
"Hummel",160,71,"Acima do peso"
"Hummel",190,74,""
"Humphrey",180,71,""
"Humphries",182,71,""
"Humphrey",180,72,""
"Humphreys",165,71,"Acima do peso"
"Humphries",185,72,""
"Humphries",185,73,""
"Humphreys",185,72,""
"Humphrey",185,75,""
"Hundley",203,72,"Peso normal"
"Hundley",170,71,""
"Hundley",170,71,""
"Hungling",180,74,""
"Hunnefield",165,70,"Acima do peso"
"Hunt",190,77,""
"Hunt",145,69,"Acima do peso"
"Hunter",160,67,"Acima do peso"
"Hunter",155,67,"Acima do peso"
"Hunter",180,72,""
"Hunter",195,72,""
"Hunter",180,76,""
"Hunter",170,70,""
"Hunter",190,72,""
"Hunter",200,71,"Peso normal"
"Hunter",150,67,"Acima do peso"
"Hunter",165,68,""
"Hunter",165,72,"Acima do peso"
"Hunter",205,75,"Peso normal"
"Hunter",NA,NA,NA
"Hunter",180,72,""
"Hunter",185,73,""
"Hunter",220,74,"Peso normal"
"Hunter",250,75,"Peso normal"
"Hunter",180,74,""
"Hunt",165,70,"Acima do peso"
"Hunt",205,73,"Peso normal"
"Hunt",200,76,""
"Hunt",185,72,""
"Hunt",186,72,""
"Huntz",204,73,"Peso normal"
"Huntzinger",150,72,"Acima do peso"
"Huppert",190,73,""
"Hurdle",195,75,""
"Hurd",155,69,"Acima do peso"
"Hurley",160,67,"Acima do peso"
"Hurley",195,76,""
"Hurley",190,72,""
"Hurley",NA,NA,NA
"Hursh",210,74,"Peso normal"
"Hurst",220,79,"Peso normal"
"Hurst",200,76,""
"Hurst",215,72,"Peso normal"
"Hurst",160,72,"Acima do peso"
"Hurst",225,78,"Peso normal"
"Hurst",175,75,""
"Hurst",175,70,""
"Hurst",NA,NA,NA
"Hurtado",215,75,"Peso normal"
"Huskey",244,75,"Peso normal"
"Huson",180,75,""
"Husta",176,71,""
"Husted",NA,NA,NA
"Husting",185,70,""
"Huston",168,69,""
"Huston",170,72,""
"Hutchison",175,69,""
"Hutchinson",230,77,"Peso normal"
"Hutchison",215,75,"Peso normal"
"Hutchinson",175,71,""
"Hutchinson",190,74,""
"Hutchinson",180,70,""
"Hutcheson",200,74,"Peso normal"
"Hutchings",250,74,"Peso normal"
"Hutson",205,74,"Peso normal"
"Hutson",165,69,"Acima do peso"
"Hutto",195,71,""
"Hutton",240,78,"Peso normal"
"Hutton",180,71,""
"Hwang",215,72,"Peso normal"
"Hyatt",185,73,""
"Hyde",210,75,"Peso normal"
"Hyde",170,71,""
"Hyers",185,73,""
"Hyndman",150,68,"Acima do peso"
"Hynes",200,71,"Peso normal"
"Hynes",165,69,"Acima do peso"
"Hyzdu",210,74,"Peso normal"
"Iannetta",230,72,"Peso normal"
"Ibanez",205,71,"Peso normal"
"Ibanez",225,74,"Peso normal"
"Ibarra",190,72,""
"Iburg",165,71,"Acima do peso"
"Igarashi",200,71,"Peso normal"
"Igawa",210,73,"Peso normal"
"Iglesias",195,71,""
"Iglesias",190,74,""
"Ignasiak",185,71,""
"Ignasiak",175,71,""
"Iguchi",185,70,""
"Ilsley",195,73,""
"Imlay",168,71,"Acima do peso"
"Incaviglia",225,73,"Peso normal"
"Inciarte",190,71,""
"India",200,72,"Peso normal"
"Infante",175,70,""
"Infante",200,73,"Peso normal"
"Infante",195,71,""
"Inge",190,71,""
"Ingersoll",175,71,""
"Ingerton",172,73,""
"Inglett",175,69,""
"Ingraham",170,71,""
"Ingram",180,71,""
"Ingram",175,71,""
"Ingram",205,72,"Peso normal"
"Inks",175,75,""
"Innis",170,73,"Acima do peso"
"Iorg",180,72,""
"Iorg",170,71,""
"Iott",175,70,""
"Iott",200,74,"Peso normal"
"Irabu",240,76,"Peso normal"
"Irelan",165,67,""
"Ireland",180,72,""
"Iribarren",202,73,"Peso normal"
"Irvin",217,76,"Peso normal"
"Irvine",195,75,""
"Irwin",NA,NA,NA
"Irvin",195,73,""
"Irwin",158,68,"Acima do peso"
"Irwin",195,72,""
"Irwin",160,70,"Acima do peso"
"Irwin",168,70,""
"Irwin",210,75,"Peso normal"
"Irwin",165,71,"Acima do peso"
"Irwin",170,70,""
"Isales",175,69,""
"Isbell",190,71,""
"Isbel",190,71,""
"Ishii",215,72,"Peso normal"
"Ishikawa",220,75,"Peso normal"
"Isringhausen",235,75,"Peso normal"
"Ivey",195,76,""
"Ivie",205,75,"Peso normal"
"Iwakuma",210,75,"Peso normal"
"Iwamura",200,69,"Peso normal"
"Izquierdo",175,71,""
"Izquierdo",205,74,"Peso normal"
"Izturis",180,69,""
"Izturis",185,68,""
"Jablonski",175,70,""
"Jacklitsch",180,69,""
"Jackson",169,70,""
"Jackson",215,74,"Peso normal"
"Jackson",210,75,"Peso normal"
"Jackson",198,73,""
"Jackson",160,71,"Acima do peso"
"Jackson",220,73,"Peso normal"
"Jackson",220,74,"Peso normal"
"Jackson",NA,70,NA
"Jackson",150,69,"Acima do peso"
"Jackson",185,72,""
"Jackson",215,74,"Peso normal"
"Jackson",150,70,"Acima do peso"
"Jackson",205,72,"Peso normal"
"Jackson",185,72,""
"Jackson",160,70,"Acima do peso"
"Jackson",200,74,"Peso normal"
"Jackson",215,74,"Peso normal"
"Jackson",180,72,""
"Jackson",180,72,""
"Jackson",185,74,""
"Jackson",195,73,""
"Jackson",165,66,""
"Jackson",200,73,"Peso normal"
"Jackson",180,74,""
"Jackson",190,73,""
"Jackson",175,73,""
"Jackson",168,70,""
"Jackson",210,74,"Peso normal"
"Jackson",190,75,""
"Jackson",185,73,""
"Jackson",180,73,""
"Jackson",195,72,""
"Jackson",225,79,"Peso normal"
"Jackson",200,72,"Peso normal"
"Jackson",190,74,""
"Jackson",195,74,""
"Jackson",180,74,""
"Jackson",160,65,"Acima do peso"
"Jackson",150,69,"Acima do peso"
"Jackson",230,77,"Peso normal"
"Jackson",160,70,"Acima do peso"
"Jackson",220,77,"Peso normal"
"Jackson",230,76,"Peso normal"
"Jacobs",170,70,""
"Jacobson",215,75,"Peso normal"
"Jacobson",170,72,""
"Jacoby",175,71,""
"Jacobs",155,71,"Acima do peso"
"Jacobsen",255,76,"Peso normal"
"Jacobs",165,72,"Acima do peso"
"Jacoby",NA,NA,NA
"Jacobs",175,72,""
"Jacobus",186,74,""
"Jacobson",165,71,"Acima do peso"
"Jacobs",180,71,""
"Jacobs",210,75,"Peso normal"
"Jacobs",180,69,""
"Jacobs",160,72,"Acima do peso"
"Jacobs",155,68,"Acima do peso"
"Jacobs",150,69,"Acima do peso"
"Jacome",155,73,"Acima do peso"
"Jacquez",200,72,"Peso normal"
"Jacquez",195,74,""
"Jaeckel",170,70,""
"Jaeger",195,73,""
"Jaeger",190,73,""
"Jaha",195,73,""
"Jahn",180,72,""
"Jaime",250,74,"Peso normal"
"Jakubauskas",215,74,"Peso normal"
"Jakucki",198,74,""
"Jamerson",195,73,""
"James",170,72,""
"James",175,71,""
"James",150,69,"Acima do peso"
"James",195,76,""
"James",196,75,""
"James",215,76,"Peso normal"
"James",195,73,""
"James",195,73,""
"James",190,72,""
"James",176,70,""
"James",222,76,"Peso normal"
"James",170,73,"Acima do peso"
"Jameson",165,72,"Acima do peso"
"James",195,75,""
"James",160,70,"Acima do peso"
"James",234,75,"Peso normal"
"James",215,75,"Peso normal"
"James",175,71,""
"James",216,76,"Peso normal"
"James",205,74,"Peso normal"
"James",185,72,""
"Jamieson",165,68,""
"Janeski",205,76,"Peso normal"
"Janish",200,74,"Peso normal"
"Jankowski",225,73,"Peso normal"
"Jankowski",183,75,""
"Jannis",195,69,"Peso normal"
"Janowicz",185,69,""
"Jansen",215,74,"Peso normal"
"Jansen",265,77,"Peso normal"
"Jansen",190,74,""
"Jansen",155,71,"Acima do peso"
"Janssen",210,76,"Peso normal"
"Jantzen",170,71,""
"Janvrin",168,71,"Acima do peso"
"Janzen",197,75,""
"Jaramillo",215,72,"Peso normal"
"Jarvis",200,74,"Peso normal"
"Jarvis",180,70,""
"Jarvis",198,74,""
"Jarvis",160,69,"Acima do peso"
"Jaso",202,74,"Peso normal"
"Jasper",180,71,""
"Jaster",190,75,""
"Jata",190,73,""
"Jauss",170,71,""
"Javery",183,75,""
"Javier",170,71,""
"Javier",213,73,"Peso normal"
"Javier",175,73,""
"Javier",185,72,""
"Jax",195,74,""
"Jaye",170,75,"Acima do peso"
"Jay",228,76,"Peso normal"
"Jay",200,71,"Peso normal"
"Jean",175,74,""
"Jeanes",176,72,""
"Jeffcoat",175,71,""
"Jeffcoat",185,70,""
"Jeffcoat",187,74,""
"Jefferies",182,72,""
"Jefferies",175,71,""
"Jefferson",188,75,""
"Jefferson",210,76,"Peso normal"
"Jeffers",235,76,"Peso normal"
"Jefferson",175,71,""
"Jeffries",175,70,""
"Jeffress",205,72,"Peso normal"
"Jelic",180,71,""
"Jelincich",198,74,""
"Jelks",189,74,""
"Jeltz",180,71,""
"Jenkins",230,76,"Peso normal"
"Jenkins",205,77,"Peso normal"
"Jenkins",205,73,"Peso normal"
"Jenkins",195,74,""
"Jenkins",170,71,""
"Jenkins",160,68,"Acima do peso"
"Jenkins",174,73,""
"Jenkins",180,76,""
"Jenks",275,76,"Peso normal"
"Jennings",NA,NA,NA
"Jennings",175,74,""
"Jennings",215,75,"Peso normal"
"Jennings",NA,NA,NA
"Jennings",210,74,"Peso normal"
"Jennings",175,70,""
"Jennings",165,68,""
"Jennings",235,74,"Peso normal"
"Jennings",205,74,"Peso normal"
"Jensen",190,71,""
"Jensen",255,75,"Peso normal"
"Jensen",195,76,""
"Jensen",205,72,"Peso normal"
"Jensen",170,71,""
"Jensen",160,70,"Acima do peso"
"Jepsen",235,75,"Peso normal"
"Jerez",210,76,"Peso normal"
"Jerzembeck",185,73,""
"Jessee",165,70,"Acima do peso"
"Jestadt",188,74,""
"Jester",188,71,""
"Jeter",195,75,""
"Jeter",180,73,""
"Jeter",185,74,""
"Jethroe",178,73,""
"Jewell",217,74,"Peso normal"
"Jewett",137,69,"Acima do peso"
"Jewett",195,74,""
"Jimenez",195,72,""
"Jimenez",215,72,"Peso normal"
"Jimenez",190,72,""
"Jimenez",182,73,""
"Jimenez",215,74,"Peso normal"
"Jimenez",170,69,""
"Jimenez",240,76,"Peso normal"
"Jimenez",200,71,"Peso normal"
"Jimenez",144,68,"Acima do peso"
"Jimenez",205,74,"Peso normal"
"Jimenez",170,75,"Acima do peso"
"Jimenez",277,75,"Peso normal"
"Jimenez",165,73,"Acima do peso"
"Jimenez",195,74,""
"Jimenez",280,75,"Peso normal"
"Jimenez",205,73,"Peso normal"
"Jimenez",185,73,""
"Jimenez",205,74,"Peso normal"
"Jimenez",221,77,"Peso normal"
"Jimerson",210,75,"Peso normal"
"Joaquin",230,75,"Peso normal"
"Jodie",208,76,"Peso normal"
"Joe",205,72,"Peso normal"
"Johjima",205,72,"Peso normal"
"Johnson",NA,NA,NA
"Johnson",165,69,"Acima do peso"
"Johnson",210,74,"Peso normal"
"Johnson",205,72,"Peso normal"
"Johnson",180,73,""
"Johnson",167,73,"Acima do peso"
"Johnson",185,74,""
"Johns",170,68,""
"Johnson",190,77,""
"Johnson",NA,NA,NA
"Johnson",190,74,""
"Johnson",200,73,"Peso normal"
"Johnson",167,NA,NA
"Johnson",170,71,""
"Johnson",180,70,""
"Johnson",205,77,"Peso normal"
"Johnson",180,72,""
"Johnson",175,70,""
"Johnson",220,76,"Peso normal"
"Johnson",195,75,""
"Johnson",210,74,"Peso normal"
"Johnson",250,75,"Peso normal"
"Johnson",195,73,""
"Johnson",NA,66,NA
"Johnson",150,69,"Acima do peso"
"Johnson",190,71,""
"Johnson",175,72,""
"Johnson",215,74,"Peso normal"
"Johnson",225,75,"Peso normal"
"Johnson",215,76,"Peso normal"
"Johnson",200,76,""
"Johnson",180,73,""
"Johnson",170,73,"Acima do peso"
"Johnson",183,73,""
"Johnson",180,70,""
"Johnson",205,77,"Peso normal"
"Johnson",210,74,"Peso normal"
"Johnson",200,70,"Peso normal"
"Johnson",200,74,"Peso normal"
"Johnston",155,68,"Acima do peso"
"Johnson",230,76,"Peso normal"
"Johnston",170,72,""
"Johnson",170,72,""
"Johnson",200,75,""
"Johns",185,74,""
"Johnson",190,75,""
"Johnson",160,69,"Acima do peso"
"Johnson",185,69,""
"Johnson",190,73,""
"Johnson",151,69,"Acima do peso"
"Johnson",190,75,""
"Johnson",175,71,""
"Johnson",230,75,"Peso normal"
"Johnson",175,71,""
"Johnson",185,72,""
"Johnston",170,71,""
"Johnson",155,73,"Acima do peso"
"Johnson",210,75,"Peso normal"
"Johnston",175,72,""
"Johnson",175,71,""
"Johnson",178,71,""
"Johnstone",175,73,""
"Johnson",225,78,"Peso normal"
"Johnson",200,75,""
"Johnson",200,75,""
"Johnston",160,70,"Acima do peso"
"Johnson",172,69,""
"Johnson",175,71,""
"Johnson",250,78,"Peso normal"
"Johnson",165,70,"Acima do peso"
"Johnston",172,71,""
"Johnson",182,72,""
"Johnson",190,74,""
"Johnson",195,74,""
"Johnston",218,77,"Peso normal"
"Johnstone",195,75,""
"Johnson",180,72,""
"Johnson",250,79,"Peso normal"
"Johnson",150,71,"Acima do peso"
"Johnson",185,73,""
"Johnson",210,76,"Peso normal"
"Johns",175,73,""
"Johnson",200,71,"Peso normal"
"Johnson",200,73,"Peso normal"
"Johnson",205,76,"Peso normal"
"Johnson",185,72,""
"Johnson",215,74,"Peso normal"
"Johnson",160,70,"Acima do peso"
"Johnson",204,76,"Peso normal"
"Johnson",170,71,""
"Johnson",230,76,"Peso normal"
"Johnson",185,72,""
"Johnson",226,75,"Peso normal"
"Johnson",185,73,""
"Johnson",175,74,""
"Johnston",215,74,"Peso normal"
"Johnson",210,72,"Peso normal"
"Johnson",235,75,"Peso normal"
"Johns",NA,71,NA
"Johnson",185,69,""
"Johnson",160,68,"Acima do peso"
"Johns",165,70,"Acima do peso"
"Johnson",202,74,"Peso normal"
"Johnson",185,73,""
"Johnson",177,75,""
"Johnson",195,74,""
"Johnson",190,73,""
"Johnson",225,82,"Peso normal"
"Johnston",202,73,"Peso normal"
"Johnson",185,70,""
"Johnson",185,72,""
"Johnson",175,69,""
"Johnson",215,75,"Peso normal"
"Johnson",205,76,"Peso normal"
"Johnson",160,70,"Acima do peso"
"Johnson",160,70,"Acima do peso"
"Johnson",220,73,"Peso normal"
"Johnson",185,70,""
"Johnson",190,70,""
"Johnson",185,71,""
"Johnson",175,69,""
"Johnson",180,70,""
"Johnson",220,73,"Peso normal"
"Johnson",180,71,""
"Johnson",170,73,"Acima do peso"
"Johns",170,71,""
"Johnson",185,73,""
"Johnson",195,75,""
"Johnson",180,74,""
"Johnson",160,72,"Acima do peso"
"Johnson",200,73,"Peso normal"
"Johnson",180,72,""
"Johnson",173,72,""
"Johnson",NA,NA,NA
"John",180,75,""
"Joiner",170,72,""
"Jokisch",205,74,"Peso normal"
"Jok",190,72,""
"Jolley",210,75,"Peso normal"
"Jolly",160,72,"Acima do peso"
"Jones",NA,NA,NA
"Jones",NA,NA,NA
"Jones",NA,NA,NA
"Jones",215,74,"Peso normal"
"Jones",170,69,""
"Jones",210,76,"Peso normal"
"Jones",225,73,"Peso normal"
"Jones",165,72,"Acima do peso"
"Jones",225,76,"Peso normal"
"Jones",NA,NA,NA
"Jones",157,66,"Acima do peso"
"Jones",154,69,"Acima do peso"
"Jones",170,72,""
"Jones",195,74,""
"Jones",210,76,"Peso normal"
"Jones",185,72,""
"Jones",154,69,"Acima do peso"
"Jones",215,73,"Peso normal"
"Jones",NA,NA,NA
"Jones",185,75,""
"Jones",202,71,"Peso normal"
"Jones",NA,NA,NA
"Jones",165,73,"Acima do peso"
"Jones",183,72,""
"Jones",200,74,"Peso normal"
"Jones",210,76,"Peso normal"
"Jones",185,72,""
"Jones",185,74,""
"Jones",160,71,"Acima do peso"
"Jones",155,67,"Acima do peso"
"Jones",165,70,"Acima do peso"
"Jones",172,73,""
"Jones",180,73,""
"Jones",175,70,""
"Jones",180,72,""
"Jones",NA,NA,NA
"Jones",233,77,"Peso normal"
"Jones",174,73,""
"Jones",185,70,""
"Jones",184,72,""
"Jones",195,75,""
"Jones",190,70,""
"Jones",NA,71,NA
"Jones",180,71,""
"Jones",155,68,"Acima do peso"
"Jones",191,72,""
"Jones",235,77,"Peso normal"
"Jones",185,72,""
"Jones",190,74,""
"Jones",194,74,""
"Jones",149,66,"Acima do peso"
"Jones",150,66,"Acima do peso"
"Jones",165,71,"Acima do peso"
"Jones",250,76,"Peso normal"
"Jones",NA,NA,NA
"Jones",NA,NA,NA
"Jones",197,75,""
"Jones",175,70,""
"Jones",210,75,"Peso normal"
"Jones",205,75,"Peso normal"
"Jones",211,74,"Peso normal"
"Jones",210,72,"Peso normal"
"Jones",210,75,"Peso normal"
"Jones",200,74,"Peso normal"
"Jones",162,70,"Acima do peso"
"Jones",175,74,""
"Jones",151,73,"Acima do peso"
"Jones",185,71,""
"Jones",193,75,""
"Jones",175,69,""
"Jones",180,73,""
"Jones",235,77,"Peso normal"
"Jones",168,71,"Acima do peso"
"Jones",215,78,"Peso normal"
"Jones",215,72,"Peso normal"
"Jones",230,77,"Peso normal"
"Jones",185,73,""
"Jones",195,76,""
"Jones",175,75,""
"Jones",163,67,"Acima do peso"
"Jones",175,71,""
"Jones",178,72,""
"Jones",190,75,""
"Jones",190,77,""
"Jones",186,75,""
"Jones",185,74,""
"Jones",195,70,"Peso normal"
"Jones",170,70,""
"Jones",221,74,"Peso normal"
"Jones",170,72,""
"Jones",192,76,""
"Jones",180,72,""
"Jones",205,76,"Peso normal"
"Jones",175,70,""
"Jones",225,78,"Peso normal"
"Jones",230,79,"Peso normal"
"Jones",192,72,""
"Jones",165,70,"Acima do peso"
"Jones",220,77,"Peso normal"
"Jones",172,70,""
"Jones",195,73,""
"Jones",200,75,""
"Jones",180,75,""
"Jones",188,73,""
"Jonnard",185,73,""
"Jonnard",165,73,"Acima do peso"
"Joost",175,72,""
"Jordan",205,73,"Peso normal"
"Jordan",170,72,""
"Jordan",NA,NA,NA
"Jordan",185,70,""
"Jordan",NA,NA,NA
"Jordan",157,69,"Acima do peso"
"Jordan",185,73,""
"Jordan",155,67,"Acima do peso"
"Jordan",207,74,"Peso normal"
"Jordan",180,71,""
"Jordan",172,72,""
"Jordan",210,77,"Peso normal"
"Jordan",175,72,""
"Jordan",175,72,""
"Jordan",190,73,""
"Jordan",210,77,"Peso normal"
"Jordan",170,73,"Acima do peso"
"Jordan",195,73,""
"Jorgens",160,69,"Acima do peso"
"Jorge",178,74,""
"Jorgensen",195,72,""
"Jorgens",180,73,""
"Jorgensen",195,73,""
"Jorgensen",220,74,"Peso normal"
"Jorgensen",155,69,"Acima do peso"
"Jorgensen",208,76,"Peso normal"
"Jose",190,73,""
"Joseph",205,75,"Peso normal"
"Joseph",185,72,""
"Joseph",190,75,""
"Josephson",190,72,""
"Joseph",200,76,""
"Joseph",192,73,""
"Joseph",255,73,"Peso normal"
"Joshua",170,70,""
"Joss",185,75,""
"Jourdan",175,72,""
"Journell",200,76,""
"Joyce",NA,NA,NA
"Joyce",185,71,""
"Joyce",180,73,""
"Joyce",225,77,"Peso normal"
"Joyce",194,74,""
"Joyce",193,74,""
"Joyner",185,74,""
"Joy",NA,NA,NA
"Judd",200,74,"Peso normal"
"Judd",180,72,""
"Judd",170,70,""
"Jude",150,67,"Acima do peso"
"Juden",245,79,"Peso normal"
"Judge",282,79,"Peso normal"
"Judge",155,68,"Acima do peso"
"Judnich",205,73,"Peso normal"
"Judson",195,73,""
